item_id,passed_recall_gate
47050777,no
47050858,no
47050944,no
47054080,no
47057216,yes
47071286,yes
47073914,yes
47081981,yes
47124945,yes
47097362,no
47097958,no
47099327,no
47107817,no
47116627,no
47139442,no
47100335,yes
47104548,no
47107560,yes
47122277,yes
47128665,no
47144995,no
47148470,yes
47165602,yes
47170178,no
47171518,no
47171605,no
47172026,yes
47176539,no
47182362,yes
47199713,no
47238140,yes
47271445,no
47276916,yes
47291962,yes
47291969,no
47196050,no
47199626,yes
47223802,yes
47241821,yes
47246180,yes
47247689,yes
47256849,yes
47256862,no
47261911,yes
47266231,yes
47271099,yes
47282926,no
47282984,no
47282997,yes
47285403,no
47290457,no
47290827,no
47290865,no
47290929,no
47291061,no
47291080,no
47291082,no
47291095,no
47291096,no
47291105,no
47291111,yes
47291118,no
47291121,no
47291128,no
47291131,yes
47291151,no
47291155,no
47291158,no
47291169,no
47291178,no
47291180,no
47291182,no
47291215,no
47291219,no
47291235,no
47291239,yes
47291242,no
47291278,no
47291280,yes
47291284,no
47291286,no
47291290,yes
47291303,no
47291326,no
47291352,no
47291366,no
47291408,no
47291433,no
47291439,no
47291461,no
47291462,no
47291468,no
47291477,no
47291499,no
47291507,yes
47291517,yes
47291516,no
47291523,no
47291605,no
47291627,no
47291628,no
47291633,no
47291650,no
47291651,no
47291671,yes
47291678,no
47291700,no
47291703,no
47291730,no
47291751,no
47291765,no
47291773,yes
47291781,no
47291780,no
47291791,no
47291799,no
47291803,no
47291812,no
47291884,no
47291890,no
47291896,yes
47291919,no
47291946,no
47291974,no
47291978,no
47291992,no
47292008,no
47292020,no
47292027,no
47292028,no
47292049,no
47292067,yes
47292110,no
47292118,no
47292154,no
47292200,no
47292201,yes
47292240,no
47292277,no
47292314,no
47292369,no
47292379,no
47292511,no
47292659,no
47292874,no
47293252,yes
47293454,no
47293551,no
47293701,no
47293758,no
47293931,no
47294166,yes
47295048,no
47295354,no
47295614,no
47297034,no
47297112,no
47297213,no
47297455,no
47298597,yes
47318715,no
47319565,no
47312509,yes
47331614,yes
47363707,yes
47364116,yes
47364511,no
47364930,yes
47365039,no
47365065,no
47365088,no
47365179,no
47365192,yes
47365202,no
47365258,yes
47365286,no
47365555,yes
47365572,no
47365607,no
47365647,no
47365699,no
47365726,no
47365727,no
47365786,no
47365822,no
47365847,no
47365898,no
47366088,no
47366164,no
47366264,no
47366486,no
47366671,no
47366867,no
47366971,no
47368285,no
47368629,no
47369149,no
47370003,yes
47370764,yes
47371132,no
47374454,no
47414911,yes
47414923,yes
47415022,no
47415204,no
47419067,no
47484634,yes
47484684,yes
47425573,yes
47425582,yes
47426104,yes
47457162,yes
47464108,no
47472634,no
47491373,no
47524966,no
47527791,no
47502997,yes
47526813,yes
47534314,no
47534384,no
47534660,no
47534885,no
47535016,yes
47535538,no
47535732,no
47538279,yes
47538579,yes
47532617,yes
47613622,no
47618945,yes
47618571,yes
47618679,no
47618916,no
47619113,yes
47619964,no
47620277,no
47634378,no
47638257,no
47643216,no
47677583,yes
47688116,yes
47790924,yes
47827724,no
47833747,yes
47845590,no
47851405,no
47835218,yes
47835612,no
47836095,no
47849115,yes
47850854,yes
47851942,no
47863418,yes
47863648,no
47863844,no
47866246,no
47866666,no
47869410,no
47869725,no
47902426,yes
47904321,yes
47988268,yes
47988308,no
47988564,no
47988581,no
47988626,no
47988666,yes
47988747,no
47988768,no
47988784,no
47988786,no
47988792,no
47988795,no
47988816,no
47988829,no
47988833,no
47988834,no
47988853,yes
47988860,no
47988905,no
47988909,no
47988914,no
47988917,no
47988924,no
47988925,no
47988937,no
47988946,no
47988956,no
47988965,no
47989002,no
47989271,no
47989274,yes
47989370,yes
47989461,yes
47989543,no
47989601,no
47989753,no
47989784,no
47989871,no
47990026,no
47990119,no
47990521,no
47990534,no
47990907,no
47991020,no
47991090,no
47991097,no
47991133,no
47991154,no
47991167,no
47991378,no
47991402,no
47991448,no
47991468,no
47992004,no
47992056,yes
47992621,no
47992690,no
47992789,no
47992823,no
47992926,no
47993315,no
47993708,no
47993852,no
47994302,no
47994460,no
47994494,no
47994590,no
47994867,no
47995020,no
47995394,no
47995984,no
47996689,no
47996801,no
47996862,no
47997846,no
47998054,no
47998112,no
47998859,no
47998967,yes
47998970,no
47998972,no
47999414,no
47999808,no
48000989,no
48004012,no
48005054,no
48009263,no
48011497,yes
48014298,no
48018265,no
48029203,no
48033653,no
48034734,yes
48046191,no
48065754,no
48156407,no
48033724,no
48046281,no
48055695,no
48060626,yes
48117476,yes
48120260,yes
48147116,no
48140339,no
48195021,yes
48195611,yes
48195892,yes
48195927,no
48195945,no
48196172,no
48196189,no
48196226,no
48196293,yes
48196395,no
48196628,no
48197295,no
48197543,no
48198174,yes
48198282,no
48198309,no
48198440,yes
48198526,no
48199071,yes
48199073,no
48199083,no
48200273,yes
48201019,no
48201046,no
48201255,no
48201496,no
48204842,no
48222652,yes
48201140,yes
48229313,no
48229314,yes
48230005,no
48230345,no
48236579,no
48236870,no
48285727,no
48309986,yes
48313227,no
48313291,no
48313680,no
48315374,no
48315511,no
48316780,no
48317177,no
48317302,no
48317611,no
48318314,no
48319975,no
48320005,no
48327153,no
48327209,yes
48328688,yes
48328764,no
48355600,no
48357062,no
48370101,no
48370836,no
48370995,no
48371188,no
48452178,no
48356768,yes
48383747,no
48453224,yes
48453497,yes
48455437,no
48456851,no
48457060,no
48465979,no
48461287,yes
48548381,yes
48549146,no
48551333,no
48555593,yes
48647290,no
48558502,yes
48562859,yes
48563100,yes
48574441,yes
48574856,yes
48563191,yes
48619779,yes
48691461,yes
48695506,no
48801698,yes
48696609,no
48696739,no
48697062,no
48697266,no
48746752,yes
48747824,no
48747853,no
48748076,no
48748259,no
48748541,no
48749021,no
48749133,no
48749608,no
48749984,no
48750064,no
48750605,no
48750671,no
48750683,no
48750783,no
48751018,yes
48751285,no
48751327,no
48753186,no
48753512,no
48753516,no
48753588,no
48753778,no
48756528,no
48757534,no
48757623,no
48759996,yes
48760851,no
48762862,yes
48763255,no
48763296,no
48763334,no
48763344,no
48763356,no
48763357,no
48763396,no
48763448,no
48763576,no
48763594,no
48763867,no
48764103,no
48764162,no
48764167,no
48764194,no
48764208,no
48764224,no
48764383,no
48764397,no
48764725,no
48765522,no
48765925,no
48766018,no
48766153,no
48766570,yes
48766774,no
48766857,no
48767171,no
48767413,no
48767849,no
48768239,no
48774895,no
48774915,no
48777690,no
48782955,no
48806479,yes
48806884,yes
48807808,yes
48810424,yes
48830015,no
48836288,yes
48836564,no
48872847,yes
48878626,no
48882164,no
48918150,no
48918408,no
48918804,no
48918929,no
48918941,no
48919122,no
48919380,no
48919508,no
48920094,no
48920536,no
48922551,no
48922706,yes
48925999,no
48926062,no
48931581,yes
48932333,no
48933325,no
48933379,no
48937450,yes
48937493,no
48937563,no
48937573,no
48938793,no
48945397,no
48952601,no
48967813,no
48967936,no
49103513,no
48931713,yes
48931950,no
48945109,no
48937020,yes
48937601,no
48937839,no
48937908,no
48937975,no
48939206,no
48939450,no
48940301,yes
48941116,yes
48941604,no
48941910,no
48942550,yes
48942871,no
48946483,no
48955885,no
48975547,yes
48988614,no
48937605,no
48941510,yes
48956370,yes
48956888,yes
48958858,no
48965373,yes
48964176,no
48969782,no
48979474,yes
48979723,no
48980065,no
48983969,yes
48984940,no
48981136,yes
48981267,yes
48981321,no
48981354,no
48981382,no
48981430,no
48981468,no
48981492,no
48981520,yes
48981534,no
48981552,yes
48981615,no
48981624,yes
48981676,no
48981702,no
48981720,no
48981840,no
48981989,no
48982043,no
48982076,no
48982284,no
48982399,no
48982486,no
48982506,yes
48982555,no
48982601,no
48982668,no
48982725,no
48982734,no
48982741,yes
48982844,no
48982894,no
48983035,yes
48983058,no
48983071,no
48983323,no
48983596,no
48983608,no
48983678,no
48984392,no
48984520,no
48984624,yes
48984769,no
48984818,no
48984870,no
48984947,no
48985274,yes
48985341,no
48985410,no
48986898,yes
48987201,no
48987437,no
48988319,no
48988338,no
48988345,no
48988375,no
48988545,no
48988864,no
48989330,yes
48990006,no
48990341,no
48990416,no
48991504,yes
48992376,yes
48992912,no
48993064,yes
49002315,no
49002364,no
49012793,yes
49017646,no
48981438,yes
48991266,yes
48993003,yes
48995209,no
49006862,yes
49009274,no
49023427,yes
49024768,no
49025055,yes
49025087,no
49025146,no
49025572,no
49025640,no
49025779,no
49026374,no
49026499,no
49027288,no
49030527,no
49024620,yes
49024761,yes
49025096,no
49025107,no
49025518,no
49025800,no
49025939,yes
49025976,no
49026319,no
49026450,no
49026466,yes
49026594,no
49026609,no
49026720,no
49026790,no
49026824,yes
49027058,yes
49028025,no
49028202,no
49028293,no
49028462,no
49031269,no
49031437,no
49033472,yes
49035220,no
49037707,no
49039177,no
49064231,no
49071736,no
49071788,no
49093110,yes
49044039,yes
49049796,yes
49118166,no
49055227,yes
49060868,yes
49061129,no
49074011,no
49063031,yes
49064283,yes
49087187,yes
49094760,yes
49098829,yes
49099094,yes
49099809,yes
49099947,no
49101492,yes
49109023,no
49122867,no
49102863,yes
49103367,yes
49105219,no
49105249,no
49105766,no
49107530,no
49108406,no
49110229,no
49109721,yes
49110331,no
49110587,no
49110691,no
49110723,no
49110728,no
49110868,yes
49111249,no
49111303,yes
49111697,no
49111784,no
49112434,no
49112833,no
49112886,no
49112979,no
49113276,no
49113288,no
49113298,no
49114524,no
49114794,yes
49114802,no
49114895,no
49115208,no
49116467,no
49116626,yes
49116687,no
49116711,no
49116737,no
49116767,no
49117481,no
49120057,no
49120190,no
49123180,no
49124973,no
49156403,no
49157839,yes
49158049,no
49160849,no
49195017,no
49158160,yes
49166289,yes
49168586,no
49170377,yes
49196359,no
49232136,yes
49263297,no
49237498,no
49273549,no
49287151,no
49305628,no
49343029,no
49356146,no
49370582,no
49344085,no
49483295,no
49348136,yes
49349036,no
49349140,no
49349209,no
49349399,no
49350118,no
49350315,no
49350657,no
49350756,no
49350790,no
49350900,no
49350983,yes
49351059,no
49354202,no
49355016,no
49356927,no
49362054,no
49366901,no
49394414,no
49353290,yes
49363710,yes
49364385,no
49364395,yes
49364474,no
49364549,no
49364820,yes
49364991,no
49365207,no
49365431,no
49366194,yes
49366268,no
49367087,no
49370683,no
49370798,no
49370999,no
49385790,no
49392915,yes
49394663,yes
49404848,yes
49406200,yes
49425460,yes
49432200,yes
49487702,yes
49582081,no
49378903,yes
49466358,no
49466704,yes
49472355,no
49477547,no
49477853,no
49479539,no
49479560,no
49480978,no
49481006,yes
49507259,yes
49507675,no
49509036,no
49519639,yes
49520067,no
49520445,no
49520885,no
49521097,no
49521696,no
49522400,no
49524250,no
49525033,no
49531112,no
49534941,yes
49524246,yes
49524437,no
49524381,no
49524681,no
49536840,yes
49538195,yes
49538964,no
49539184,no
49553711,no
49564408,no
49548892,no
49564895,no
49565799,yes
49566249,no
49567129,no
49586069,no
49588993,no
49595797,yes
49604092,no
49645657,no
49647883,yes
49648804,yes
49669858,yes
49671542,yes
